,ALLOTHL,AOA,ASDROTH,ASDRRES,BKPREM,CERT,CHBAL,EDCM,EQTOT,ESTINS,FREPP,FX,ID,INTAN,LNAG,LNAUTO,LNCI,LNCONOTH,LNCONRP,LNCRCD,LNOTCI,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,LOCCOM,LOCFPSB,LOCFSB,LOCPSB,NAASSET,NACDIR,NAME,NETINC,NTRCOMOT,NTRFCFG,NTRIPC,NTRMUNI,NTRUSGOV,ORE,OTBFH1L,OTHBRF,P3ASSET,P9ASSET,PARTCONV,RBCT1CER,RBCT1J,REPDTE,RT,RWAJT,SCABS,SCASPNSUM,SCCMOG,SCCMOS,SCCOL,SCCPTG,SCFMN,SCGNM,SCMUNI,SCODOT,SCRMBPI,SCSFP,SCUST,SUBND,SZISLOTH,SZLAUTO,SZLNCI,SZLNCON,SZLNCRCD,SZLNHEL,SZLNOTH,SZLNRES,TRADEL,TRNCBO,TRNIPCOC,TRNMUNI,TRNUSGOV,UC,UCCOMRE,UCCRCD,UCLOC,UCOTHER,UCSC
0,482,687,0,0,708,20290,12312,0,1134,80.42993444,0,0,20290_20140630,0,0,54,2668,0,205,0,6176,0,1710,1366,6771,9672,0,226,226,0,3096,0,HIGHLAND COMMUNITY BANK,-189,0,0,25223,15012,0,281,0,0,1679,110,,0,1349,20140630,0,29623,0,0,0,0,3915,0,7140,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19354,0,0,1565,200,0,32,1333,0
0,262,916,0,0,4992,17557,12628,0,2072,94.71869284,0,0,17557_20140630,0,252,13,621,1035,6,0,1967,361,5411,278,13932,4729,0,326,0,326,401,0,FIRST NB OF CRESTVIEW,-457,0,0,47917,627,0,12339,0,0,14,0,,0,2308,20140630,0,48958,0,0,0,0,11987,0,4807,4646,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31179,1145,0,2243,766,0,344,1133,0
0,60,1639,0,0,85,34983,2787,0,413,96.38882018,0,0,34983_20140331,2,0,125,2544,411,206,0,0,451,460,462,3955,5811,0,50,50,0,177,0,NORTHERN STAR BANK,-64,250,0,15862,0,0,697,0,0,470,55,,0,427,20140331,0,15832,0,0,0,0,778,0,41,176,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,0,0,763,41,0,391,331,0
0,209,2980,0,0,5888,34738,22429,0,3510,91.19074324,0,0,34738_20140331,0,0,0,1471,145,0,0,0,0,1791,4453,15039,30337,0,0,0,0,4019,0,FRONTIER BANK FSB,-788,0,0,48528,0,0,523,0,2500,0,0,,0,3476,20140331,0,48965,0,0,0,0,7564,0,4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38827,0,0,2179,0,0,1382,797,0
0,2793,9023,0,0,2285,916,97607,0,25922,97.19255053,0,0,916_20140331,0,0,33,21445,142,0,0,476,0,35851,9928,644279,38427,0,2041,2041,0,329412,0,NATIONAL REPUBLIC BK CHICAGO,-5702,280758,0,592073,18881,0,10106,10000,10000,51391,4,,0,25636,20140331,0,741994,0,0,0,0,14770,0,1,0,0,13595,0,0,105712,15000,0,0,0,0,0,0,0,0,0,0,39298,0,0,4615,3640,0,296,679,0
0,2844,6775,0,0,949,4862,34717,0,6644,92.50120653,0,0,4862_20140331,0,112,320,27178,2935,370,0,2887,5091,4601,128,46168,44096,7328,0,0,0,4873,0,NBRS FINANCIAL,13,0,0,129005,13157,0,2564,0,0,4302,0,,0,6994,20140331,0,127698,0,0,0,0,26262,0,0,4922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53949,523,0,10267,900,0,4435,4932,0
0,484,978,0,0,2415,28462,12116,0,2109,96.59694464,0,0,28462_20131231,158,0,0,2238,682,0,0,7,0,1264,10524,19523,21300,0,0,0,0,5020,0,GREENCHOICE BANK FSB,-2843,8831,0,52919,0,0,4184,0,0,1338,23,,,1941,20131231,0,55468,0,0,0,0,0,0,211,251,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,11299,0,0,3127,2362,0,41,724,0
0,497,884,0,0,201,58125,26300,0,2394,84.191476,6478,0,58125_20131231,0,0,243,15135,64,1028,0,0,1835,13795,1019,69004,9368,0,0,0,0,13859,0,EASTSIDE COMMERCIAL BANK,-593,30889,0,108119,266,0,14076,0,0,4435,0,,,3837,20131231,0,124675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21195,216,0,10680,3200,0,657,6823,0
0,23,585,0,0,134,12483,3090,0,1962,95.73462099,0,0,12483_20130930,0,3557,749,1483,1593,0,0,250,511,392,0,1220,1278,0,0,0,0,405,0,FREEDOM STATE BANK,112,0,0,10836,303,0,0,0,0,29,10,,,1959,20130930,0,14650,0,0,0,0,0,0,0,0,486,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,8513,216,2,1208,8,0,0,1200,0
0,2084,4647,0,0,1823,21793,43,0,2045,85.33676946,95,0,21793_20130930,43,0,3,8738,754,0,0,1323,610,9199,6605,15721,14886,0,90,90,0,6415,0,VALLEY BANK,-214,14926,0,39396,0,0,957,13000,13000,519,0,,,2227,20130930,0,59245,0,0,0,0,5708,0,13805,5002,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,14059,260,0,3119,480,0,238,2401,0
0,4920,18696,0,0,20888,10450,11712,0,16696,94.33978627,21715,0,10450_20130930,175,1699,859,91201,2625,0,0,2234,2376,74224,39950,58769,69230,0,4048,4048,0,29497,0,VALLEY BANK,-531,92431,0,285709,3315,0,8888,500,68000,8909,474,,,17497,20130930,25368,367977,0,0,2164,0,33440,0,56844,21337,9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29066,4347,0,35452,13204,0,1435,20813,0
0,582,6457,0,0,4346,32368,39425,0,3832,97.2697024,0,0,32368_20130930,0,0,0,37,310,50,0,0,0,5737,1155,18644,68781,0,0,0,0,13438,0,SLAVIE FEDERAL SAVINGS BANK,-2903,0,0,98404,240,0,7462,0,25700,210,0,,,3832,20130930,0,81368,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19764,1,1,6106,187,0,5919,0,0
0,286,1270,0,0,82,32284,5144,0,1070,99.99045376,0,0,32284_20130930,0,0,8,0,13,0,0,0,45,363,4254,2312,20795,0,0,0,0,3383,0,COLUMBIA SAVINGS BANK,-595,0,0,26034,0,0,4431,0,5624,69,0,,,1070,20130930,0,23553,0,0,0,0,16,0,2,25,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,5392,0,0,888,0,0,888,0,0
0,275,2492,0,0,796,57866,6990,0,1296,85.26898327,0,0,57866_20130930,0,0,21,3272,27,0,0,0,0,2664,2114,31972,14186,0,2450,0,2450,10917,0,AZTECAMERICA BANK,-2023,25410,0,46565,572,0,4434,0,0,956,0,,,1615,20130930,0,58035,0,0,0,0,0,0,0,157,0,0,0,0,12527,0,0,0,0,0,0,0,0,0,0,133,4987,0,0,2259,300,0,106,1853,0
0,131,1039,0,0,348,15062,7060,0,3470,99.8863303,0,0,15062_20130930,0,0,2517,897,15484,0,0,0,462,0,0,1591,4526,0,0,0,0,504,0,ALLENDALE COUNTY BANK,34,0,0,31402,0,0,25,0,0,1304,23,,,3360,20130930,0,30589,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22873,0,164,0,0,0,0,0,0
0,990,2169,0,0,809,58531,1823,0,3984,89.79509214,0,0,58531_20130630,101,0,0,3659,302,67,0,0,397,390,2287,8472,44992,0,0,0,0,723,0,VANTAGE POINT BANK,-529,0,0,69711,0,0,29,2000,2000,1618,0,,,4032,20130630,0,53057,0,0,0,0,393,0,520,3878,0,0,2033,0,9000,0,0,0,0,0,0,0,0,0,0,0,6830,0,0,6080,321,0,5426,333,0
0,500,2595,0,0,1020,35096,35522,0,-1500,91.6511825,0,0,35096_20130630,0,224,89,9560,2852,4,0,10,0,759,3235,26671,23925,0,148,0,148,483,0,MILLENNIUM BANK NA,-914,2579,0,127266,0,0,7077,5000,11000,1142,0,,,3083,20130630,0,115467,0,0,0,0,0,0,1311,383,7218,0,3475,2980,0,0,0,0,0,0,0,0,0,0,0,0,4693,0,0,12770,150,90,9649,2881,0
0,461,2802,0,0,2260,34296,16398,0,4358,96.05593869,0,0,34296_20130630,0,817,529,26304,1534,1359,0,13,61,2688,411,68437,26117,0,0,0,0,4936,0,SYRINGA BANK,-1225,10325,0,92514,2809,0,1683,4000,4000,268,0,,,4248,20130630,0,128145,0,0,0,0,0,0,2176,1243,4566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38426,1865,0,24339,955,0,9408,13976,0
0,251,10256,0,0,2167,17967,26362,0,36290,83.91107986,0,0,17967_20130630,0,50781,3551,138759,5700,0,117,2238,17173,12414,1166,35500,32237,0,689,689,0,47205,0,BANK OF UNION,3211,0,0,217779,7012,0,85,0,0,22218,61882,,,36224,20130630,0,301971,0,0,0,0,0,0,13,7,9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101296,26522,0,15116,6040,0,0,9076,0
0,525,862,0,0,1809,5732,22128,0,1975,95.79169133,0,0,5732_20130630,0,0,8,511,654,0,3,0,0,344,3233,13573,10328,0,1087,1087,0,4213,0,DUPAGE NATIONAL BANK,-1144,1243,0,36764,100,0,2352,0,0,298,944,,,1952,20130630,0,32523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19102,211,0,1870,0,29,1486,355,0
0,4694,3816,0,0,1803,57431,55766,0,7218,98.49690797,0,0,57431_20130331,0,1081,228,20960,792,0,46,0,0,23923,4046,57009,19964,25,123,5,118,24338,0,TEXAS COMMUNITY BANK NA,-1560,11060,0,144951,37425,0,20363,0,0,8390,0,,,7229,20130331,0,145173,0,0,0,0,0,0,0,14088,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,12524,0,0,2113,204,0,0,1909,0
0,145,386,0,0,298,14794,5234,0,454,98.78000941,0,0,14794_20130331,0,279,460,1180,822,0,0,57,549,1398,264,3268,9303,0,29,29,0,1392,0,BANK OF JACKSON COUNTY,-197,0,0,13214,22,0,2317,0,0,727,111,,,454,20130331,0,21186,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,10987,1232,0,197,0,0,0,197,0
0,24746,166643,0,847,211687,14318,336751,0,190989,92.04807237,0,605,14318_20121231,8584,12161,3277,141191,25671,2679,2494,19609,44074,341438,103234,873750,433908,0,4963,788,4175,363756,0,FIRST NATIONAL BANK,-136531,446006,0,1676776,179120,0,240900,0,554359,37594,7322,,,79880,20121231,0,2240511,0,0,0,0,0,1125,52122,40274,3661,8910,0,1894,4804,0,0,0,0,0,0,0,0,0,0,448,152435,50808,0,68462,20729,5141,0,42592,0
0,234,1723,0,0,226,57041,2984,0,1704,99.04524699,0,0,57041_20121231,0,0,322,1243,34,0,0,1,0,1542,1558,7115,4760,0,40,40,0,748,0,COMMUNITYS BANK,-1835,13132,0,10144,283,0,576,1182,1351,1431,79,,,1060,20121231,0,16925,0,0,0,0,204,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937,0,0,27,0,0,27,0,0
0,974,3394,0,0,1264,34707,31667,0,4702,94.43504212,0,0,34707_20121231,0,0,49,15920,152,1026,0,243,284,6674,4149,131482,18365,0,0,0,0,17159,0,SUNRISE BANK OF ARIZONA,-4279,14437,0,182524,130,0,5810,0,0,1671,0,,,4702,20121231,0,180236,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12616,11,0,14319,0,0,3268,11051,0
